Store_No,Store_Address,Region,Main_Category,Main_Category_Name,food_or_non_food,Division,Date,Stocks
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,271,HARD CHEESE,F,FRESH FOOD,01-01-2019,673793.511
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,272,PROCESSED CHEESE,F,FRESH FOOD,01-01-2019,687411.9384
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,279,LAUNDRY DETERGENTS,F,DRY FOOD,01-01-2019,1748986.062
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,280,WASHING ADDITIVES,F,DRY FOOD,01-01-2019,728600.8822
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,281,DISHWASHING TREATMENTS,F,DRY FOOD,01-01-2019,1337010.969
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,282,CLEANING DETERGENTS,F,DRY FOOD,01-01-2019,1247020.68
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,283,AIR REFRESHMENT,F,DRY FOOD,01-01-2019,398283.4532
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,284,INSECTICIDES,F,DRY FOOD,01-01-2019,22623.8458
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,285,TOILET PAPER,F,DRY FOOD,01-01-2019,694813.4115
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,286,PAPER ROLLS+TOWELS,F,DRY FOOD,01-01-2019,322846.1736
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,287,HANDKERCHIEFS,F,DRY FOOD,01-01-2019,211318.3383
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,288,NAPKINS,F,DRY FOOD,01-01-2019,404043.4182
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,289,TABLE ACCESORIES,F,DRY FOOD,01-01-2019,119175.0487
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,290,DISPENSERS,F,DRY FOOD,01-01-2019,68842.814
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,291,HYGIENE PRODUCTS,F,DRY FOOD,01-01-2019,821958.9574
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,292,DIAPERS,F,DRY FOOD,01-01-2019,351182.4367
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,293,DISPOSABLE,F,DRY FOOD,01-01-2019,2232326.79
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,300,CANNED VEGETABLES (SALT PICKLE,F,DRY FOOD,01-01-2019,1312068.489
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,317,CANNED VEGET.(SWEET&SOUR PICKL,F,DRY FOOD,01-01-2019,1854994.539
2,"2811 Middlefield Rd, Palo Alto, CA 94306",West,318,CANNED FRUIT,F,DRY FOOD,01-01-2019,715327.1052
